тип населенного пункта;численность населения;год рождения;возраст;образование;семейное положение;пол;день рождения;месяц рождения;жили в другом городе;национальность;трудоустройство;удовлетворенность работой;удовлетворенность оплатой;отрасль где работаете;месячная зарплата;были ли в отпуске последние 12 месяцев;удовлетворенность материальным положением;сколько классов закончили;в какой школе учились;вера;получаете пенсию;испытывате чувство одиночества;вес;рост;пульс;размер семьи;вы счастливы?
Областной центр;973826;1986;31;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;3;Декабрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ФИНАНСЫ;48000;Да;И да, и нет;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;77;177;62;5;Да
Город;26830;1971;46;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;22;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;50000;Нет;Скорее удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Часто;83;168;66;2;Да
Областной центр;592034;1979;37;есть диплом о высшем образовании;Состоите в зарегистрированном браке;МУЖСКОЙ;3;Декабрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ТРАНСПОРТ, СВЯЗЬ;90000;Да;Не очень удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;65;175;58;1;Да
Село;1320;1958;59;10 и более классов школы и какое-либо професс. обр. с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;24;Сентябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ЛЕГКАЯ, ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ;10000;Да;И да, и нет;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;;176;55;4;Да
Город;239800;1974;43;8 классов школы;Состоите в зарегистрированном браке;МУЖСКОЙ;29;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ТРАНСПОРТ, СВЯЗЬ;11000;Да;Не очень удовлетворены;8;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;70;175;55;5;Да
Село;6664;1972;45;техникум с дипломом;Bдовец (вдова);ЖЕНСКИЙ;16;Ноябрь;Нет;КАБАРДИНЕЦ(КА);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ЗДРАВООХРАНЕНИЕ;12000;Да;Скорее удовлетворены;11;В обычной средней школе;МУСУЛЬМАНСТВО;Нет;Редко;80;167;63;1;Да
Село;437;1959;57;среднее образование - есть аттестат о ср. образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;25;Октябрь;Нет;УДМУРТ(КА);Вы сейчас работаете;И ДА, И НЕТ;И ДА, И НЕТ;ЗДРАВООХРАНЕНИЕ;15000;Да;Не очень удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Редко;70;164;83;1;Да
Областной центр;1143535;1967;50;10 и более классов школы и какое-либо професс. обр. с дипломом;Состоите в зарегистрированном браке;ЖЕНСКИЙ;12;Ноябрь;Нет;ТАТАРИН(КА);Вы сейчас работаете;И ДА, И НЕТ;И ДА, И НЕТ;ГРАЖДАНСКОЕ МАШИНОСТРОЕНИЕ;15000;Да;И да, и нет;8;В обычной средней школе;МУСУЛЬМАНСТВО;Нет;Редко;63;160;56;1;Да
Город;66508;1968;49;техникум с дипломом;Разведены и в браке не состоите;ЖЕНСКИЙ;13;Ноябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;НЕТ ОТВЕТА;НЕТ ОТВЕТА;ЖИЛИЩНО-КОММУНАЛЬНОЕ ХОЗЯЙСТВО;18000;Да;Совсем не удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;113;168;78;1;Нет
Город;111843;1979;38;техникум с дипломом;Состоите в зарегистрированном браке;ЖЕНСКИЙ;28;Сентябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;18000;Да;И да, и нет;8;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;70;165;76;1;Да
Областной центр;12325387;1969;47;есть диплом о высшем образовании;Разведены и в браке не состоите;ЖЕНСКИЙ;8;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;НЕТ ОТВЕТА;НЕТ ОТВЕТА;СТРОИТЕЛЬСТВО;20000;Да;Не очень удовлетворены;10;В обычной средней школе;НИ К КАКОЙ РЕЛИГИИ;Нет;Практически никогда;88;164;57;1;Да
Областной центр;1130132;1978;39;техникум с дипломом;Никогда в браке не состояли;ЖЕНСКИЙ;26;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СОВСЕМ НЕ УДОВЛЕТВОРЕНЫ;СОВСЕМ НЕ УДОВЛЕТВОРЕНЫ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;23000;Да;Совсем не удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;52;168;85;3;Да
Областной центр;1143535;1991;26;среднее образование - есть аттестат о ср. образовании;Живете вместе, но не зарегистрированы;ЖЕНСКИЙ;9;Декабрь;Нет;ТАТАРИН(КА);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;24000;Да;Не очень удовлетворены;11;В вечерней школе;НИ К КАКОЙ РЕЛИГИИ;Нет;Практически никогда;70;166;79;1;Да
Областной центр;326861;1957;59;10 и более классов школы и какое-либо професс. обр. с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;14;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;СТРОИТЕЛЬСТВО;25000;Да;Не очень удовлетворены;8;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;78;175;59;5;Да
Областной центр;973826;1981;36;есть диплом о высшем образовании;Разведены и в браке не состоите;ЖЕНСКИЙ;13;Ноябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ФИНАНСЫ;25000;Да;Скорее удовлетворены;11;В школе с углубленным или профильным преподаванием предметов;ПРАВОСЛАВИЕ;Нет;Редко;68;160;67;3;Да
Город;120670;1976;41;среднее образование - есть аттестат о ср. образовании;Состоите в зарегистрированном браке;МУЖСКОЙ;15;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;26000;Да;И да, и нет;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;62;175;67;5;Да
Село;600;1981;36;среднее образование - есть аттестат о ср. образовании;Состоите в зарегистрированном браке;МУЖСКОЙ;16;Сентябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;СОВСЕМ НЕ УДОВЛЕТВОРЕНЫ;ДРУГАЯ ОТРАСЛЬ ТЯЖЕЛОЙ ПРОМЫШЛЕННОСТИ;27000;Да;Совсем не удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;80;178;75;4;Да
Областной центр;4879566;1977;39;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;28;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;СОЦИАЛЬНОЕ ОБСЛУЖИВАНИЕ;35000;Да;Не очень удовлетворены;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;58;158;69;3;Да
Областной центр;333606;1983;34;9 классов школы;Состоите в зарегистрированном браке;МУЖСКОЙ;7;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;И ДА, И НЕТ;И ДА, И НЕТ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;35000;Нет;И да, и нет;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;109;190;77;4;Да
Областной центр;12325387;1955;61;среднее образование - есть аттестат о ср. образовании;Состоите в зарегистрированном браке;МУЖСКОЙ;30;Сентябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ЗДРАВООХРАНЕНИЕ;35000;Да;Полностью удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Редко;80;180;55;4;Да
Областной центр;1253335;1971;46;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;12;Ноябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;И ДА, И НЕТ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ЗДРАВООХРАНЕНИЕ;39000;Да;И да, и нет;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;65;165;61;4;Да
Областной центр;1143535;1971;45;техникум с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;1;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ТРАНСПОРТ, СВЯЗЬ;40000;Да;И да, и нет;8;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;91;176;69;1;Да
Город;97384;1979;38;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;2;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;НАУКА, КУЛЬТУРА;40000;Да;Совсем не удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;73;160;61;1;Да
Областной центр;12325387;1989;28;аспирантура и т.п. без диплома;Никогда в браке не состояли;ЖЕНСКИЙ;29;Ноябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ОБРАЗОВАНИЕ;52200;Нет;Совсем не удовлетворены;11;В обычной средней школе;НИ К КАКОЙ РЕЛИГИИ;Нет;Часто;54;159;65;4;Да
